index,loan_id,disp_id,type,loan_acc_number,acc_open_date,acc_closure_date,duration_months,principal_,outstanding,interest_rate
54,277,1777,Home Loan,30079569620212.0,2023-07-12,,60,54000,27232.08,7.93
84,371,2388,Home Loan,6011003605968948.0,2023-12-13,,60,53000,30224.9,10.26
79,704,4553,Home Loan,4.4646617311546788e+18,2023-11-21,,60,3000,2397.8,12.56
346,547,3477,Home Loan,6556605002811298.0,2021-10-11,,60,26000,18519.64,14.74
268,1247,13660,Home Loan,30127299218144.0,2020-06-13,,60,73000,56614.09,8.62
2,261,1629,Home Loan,4.06694e+15,2020-11-09,,60,88000,42249.31,15.82
32,268,1707,Home Loan,3513332487234115.0,2022-12-11,,60,2000,71.93,14.68
826,333,2128,Home Loan,4.0907304547470812e+18,2023-11-04,,60,2000,1373.01,7.28
3,296,1876,Home Loan,4642905269559999.0,2020-11-13,,60,52000,32016.64,12.81
520,359,2299,Home Loan,213188777121787.0,2022-10-29,,60,20000,18413.69,7.71
603,672,4349,Home Loan,3572991457769448.0,2023-03-07,,60,25000,17267.37,6.08
564,130,722,Home Loan,4659594562326312.0,2022-12-29,,60,96000,38666.78,8.98
411,350,2226,Home Loan,30471239807198.0,2022-04-20,,60,66000,22375.77,6.96
360,562,3583,Home Loan,30472456400139.0,2021-11-07,,60,80000,20731.71,13.72
334,278,1779,Home Loan,4923984456359.0,2021-08-15,,60,83000,30492.7,9.91
49,906,7683,Home Loan,2267345954073279.0,2023-05-18,,60,87000,55005.6,15.14
285,713,4627,Home Loan,4.2512091300870922e+18,2020-09-30,,60,22000,4672.93,9.16
469,454,2921,Home Loan,3521604122368833.0,2022-08-01,,60,72000,12536.14,9.59
66,389,2489,Home Loan,565103704476.0,2023-09-19,,60,61000,31320.01,11.0
870,886,7325,Home Loan,4.1745486282570296e+18,2023-12-15,,60,58000,12135.9,8.46
755,1098,11063,Home Loan,4.7174053997695171e+18,2023-09-01,,60,3000,2853.64,6.68
24,698,4522,Home Loan,4971902840212.0,2022-10-07,,60,55000,13110.25,7.13
23,431,2715,Home Loan,4.266251152423e+18,2022-09-12,,60,81000,43283.13,13.34
68,1007,9333,Home Loan,374092806057688.0,2023-09-25,,60,45000,10815.0,10.7
523,1056,10220,Home Loan,3596956116807972.0,2022-11-06,,60,26000,20758.69,15.72
853,466,2998,Home Loan,30246326605352.0,2023-11-25,,60,68000,50200.37,14.53
51,362,2320,Home Loan,560113374154.0,2023-06-21,,60,86000,32612.86,15.21
294,771,5233,Home Loan,6011201940984238.0,2021-01-08,,60,23000,5264.11,10.82
87,125,694,Home Loan,4.70395e+15,2023-12-26,,72,82000,80192.94,13.57
48,458,2951,Home Loan,4010907839076425.0,2023-05-14,,72,86000,20281.57,14.16
719,308,1938,Home Loan,3595870285906922.0,2023-07-30,,72,80000,74296.99,9.22
694,450,2880,Home Loan,4743338658926.0,2023-07-07,,72,46000,6602.23,11.25
653,212,1280,Home Loan,6563684066657682.0,2023-05-24,,72,46000,31294.08,10.03
477,140,798,Home Loan,3545078894887464.0,2022-08-22,,72,18000,2041.22,10.94
716,344,2168,Home Loan,6504327511982204.0,2023-07-27,,72,71000,66734.46,12.97
808,60,370,Home Loan,676117796836.0,2023-10-18,,72,38000,2573.72,15.41
339,741,4832,Home Loan,379783783246030.0,2021-09-11,,72,42000,24571.75,13.71
560,891,7434,Home Loan,4481281985337522.0,2022-12-23,,72,19000,4364.54,15.8
80,1137,11771,Home Loan,3.54195e+15,2023-12-01,,72,69000,61372.99,14.21
345,601,3830,Home Loan,4.0275404054968054e+18,2021-10-08,,72,46000,355.13,10.3
812,769,5224,Home Loan,6545327260909664.0,2023-10-20,,72,4000,1705.51,9.43
31,200,1220,Home Loan,3530753368602956.0,2022-12-09,,72,31000,16889.32,14.09
29,329,2122,Home Loan,6545009600011985.0,2022-11-19,,72,39000,6929.65,6.24
7,1187,12635,Home Loan,4710224121130313.0,2021-07-17,,72,27000,12337.46,15.96
269,652,4211,Home Loan,379682685038174.0,2020-06-16,,72,59000,26140.43,14.83
47,186,1133,Home Loan,3500414347890503.0,2023-05-12,,72,78000,4617.61,6.39
5,286,1812,Home Loan,675978791217.0,2021-04-21,,72,68000,20385.74,15.05
11,292,1842,Home Loan,6011416800623706.0,2022-01-18,,72,7000,5156.79,15.18
63,307,1930,Home Loan,180025830643002.0,2023-09-05,,72,32000,20088.59,14.48
859,1169,12354,Home Loan,4468047533453625.0,2023-11-30,,72,75000,68199.24,15.12
375,786,5478,Home Loan,4277734392427359.0,2021-12-31,,72,6000,2840.01,14.16
398,293,1850,Home Loan,570798188233.0,2022-02-17,,72,84000,6370.01,13.61
873,560,3577,Home Loan,4735890770941.0,2023-12-17,,72,3000,1079.25,10.48
782,782,5376,Home Loan,6011149267039013.0,2023-09-29,,72,49000,17810.53,14.2
805,385,2476,Home Loan,4.1871535962185462e+18,2023-10-12,,72,2000,1509.83,14.02
56,509,3253,Home Loan,2239885592185022.0,2023-07-30,,72,30000,8330.17,7.32
256,464,2984,Home Loan,2296809357680324.0,2020-02-21,,72,76000,46135.94,6.8
331,670,4343,Home Loan,6509843456077524.0,2021-08-08,,72,28000,5896.41,14.45
605,1230,13312,Home Loan,4587758746819495.0,2023-03-08,,72,56000,35208.69,8.34
81,819,5978,Home Loan,5232925873228982.0,2023-12-06,,72,99000,83194.13,11.23
64,285,1811,Home Loan,180068242564317.0,2023-09-10,,72,15000,3217.64,15.13
422,791,5521,Home Loan,563618939893.0,2022-05-12,,72,100000,95203.82,11.76
775,242,1473,Home Loan,676204812769.0,2023-09-24,,72,92000,77436.01,15.93
34,575,3667,Home Loan,3520735278742289.0,2022-12-25,,72,92000,82187.26,11.66
102,262,1647,Travel Loan,577452945477.0,2020-08-24,2021-10-06,3,58000,53458.84,11.28
138,112,626,Travel Loan,342426737887293.0,2022-01-19,,3,6000,4341.82,9.14
157,91,504,Travel Loan,4005862844472654.0,2022-09-01,,3,67000,21186.27,8.48
218,957,8506,Travel Loan,3543022793733975.0,2023-10-16,,3,52000,44762.85,11.62
114,1100,11101,Travel Loan,4696742572754.0,2021-04-10,,3,72000,37991.08,7.83
140,578,3689,Travel Loan,4956885789759.0,2022-02-21,,3,4000,3927.37,10.84
199,73,451,Travel Loan,586452189259.0,2023-07-21,,3,19000,12447.65,14.41
176,946,8359,Travel Loan,3589516993536299.0,2023-02-28,,3,44000,5122.46,14.73
104,783,5433,Travel Loan,4262516723673158.0,2020-10-24,2021-01-23,3,100000,0.0,13.64
115,216,1310,Travel Loan,30141970573727.0,2021-04-24,2022-10-25,3,44000,7969.59,13.12
108,666,4328,Travel Loan,676194454408.0,2020-12-25,2022-04-02,3,26000,24650.16,8.4
111,1139,11836,Travel Loan,4.0200406134009754e+18,2021-03-26,,3,14000,1960.97,6.23
205,1217,13098,Travel Loan,373528451917040.0,2023-08-09,,3,81000,47602.07,9.21
110,621,3970,Travel Loan,6579621748241503.0,2021-03-19,,3,70000,5105.83,9.58
139,729,4740,Travel Loan,3583826195433518.0,2022-01-22,2023-06-03,3,63000,61071.05,15.07
211,231,1390,Travel Loan,213126299117701.0,2023-09-29,,3,23000,7683.02,12.8
172,720,4674,Travel Loan,371828293413949.0,2023-02-09,2023-09-24,3,68000,13462.37,12.84
232,310,1947,Travel Loan,4.4405459373483105e+18,2023-12-23,,3,30000,15315.3,14.64
185,602,3846,Travel Loan,630441088352.0,2023-04-18,,3,63000,31596.89,11.69
120,651,4201,Travel Loan,3569851349659378.0,2021-08-02,2022-05-03,3,45000,35716.17,10.04
162,589,3766,Travel Loan,501852042107.0,2022-12-20,,3,36000,8673.96,12.34
90,174,1039,Travel Loan,3549991787412107.0,2019-12-04,,3,72000,31823.85,6.99
171,165,996,Travel Loan,4414668925257.0,2023-02-04,,3,77000,75052.52,7.58
137,137,786,Travel Loan,3512320252267213.0,2022-01-10,,3,30000,19934.65,10.72
228,657,4246,Travel Loan,3533103594091979.0,2023-12-02,,3,40000,9047.02,14.79
216,751,4941,Travel Loan,213178582484785.0,2023-10-15,,3,84000,67308.06,14.27
127,708,4568,Travel Loan,4.84964e+15,2021-09-24,,3,93000,60570.46,7.93
126,12,83,Travel Loan,4686843650211.0,2021-09-11,2023-01-27,3,62000,15527.05,12.08
179,198,1211,Travel Loan,4829596808301.0,2023-03-18,,3,31000,1833.12,11.46
145,155,900,Travel Loan,3539415991963483.0,2022-05-17,2023-02-20,3,16000,1176.82,9.54
148,270,1736,Travel Loan,3511451941056179.0,2022-06-17,,3,86000,41025.91,7.7
106,113,629,Travel Loan,3594682854990406.0,2020-11-16,2022-03-20,3,59000,53343.01,14.92
215,754,4976,Travel Loan,6011381092863651.0,2023-10-10,,3,8000,2973.77,13.27
128,197,1202,Travel Loan,675916474041.0,2021-10-21,,3,64000,57688.13,8.72
173,624,3985,Travel Loan,586299372357.0,2023-02-13,,3,41000,22551.21,14.72
225,523,3319,Travel Loan,4355274505183.0,2023-11-23,,3,34000,11140.02,12.03
213,505,3233,Travel Loan,4063022165694.0,2023-10-09,,3,25000,16410.78,11.19
143,572,3636,Travel Loan,30352828984301.0,2022-05-16,2023-06-29,3,97000,5693.77,6.92
117,44,268,Travel Loan,630474235292.0,2021-05-17,,3,82000,10564.84,13.32
132,541,3427,Travel Loan,2554158001990052.0,2021-11-26,,3,46000,19115.48,7.66
198,496,3183,Travel Loan,60406847586.0,2023-07-21,,3,84000,83084.95,6.87
182,191,1168,Travel Loan,4013583347810691.0,2023-04-02,2023-08-14,3,23000,17610.61,15.24
197,571,3627,Travel Loan,347286392532146.0,2023-07-13,,3,21000,4719.84,9.4
193,631,4061,Travel Loan,6598734581069761.0,2023-06-09,,3,62000,10942.73,7.98
93,314,1999,Travel Loan,349511147397638.0,2020-01-27,,3,41000,12127.16,15.32
146,939,8217,Travel Loan,4342465030077204.0,2022-05-29,2023-10-31,3,92000,50732.27,10.86
230,147,826,Travel Loan,6591834871381467.0,2023-12-13,2023-12-18,3,29000,1345.15,13.57
95,759,5117,Travel Loan,3596740009883591.0,2020-04-18,2021-08-13,3,22000,13484.77,6.8
212,357,2277,Travel Loan,6576540213904218.0,2023-09-29,,3,30000,3345.53,14.42
91,763,5138,Travel Loan,6011018405178274.0,2019-12-30,2021-08-23,3,26000,23739.77,6.4
204,319,2038,Travel Loan,213180821138487.0,2023-08-02,,3,58000,45989.79,13.5
133,710,4588,Travel Loan,3588434641346676.0,2021-12-10,2022-04-23,3,61000,49635.34,14.75
174,574,3640,Travel Loan,2297436162660405.0,2023-02-23,,3,86000,11273.77,12.43
169,236,1440,Travel Loan,377135175928315.0,2023-01-29,2023-04-09,3,71000,64163.68,8.76
134,363,2324,Travel Loan,4040946148634.0,2021-12-11,2023-07-14,3,53000,23154.46,7.11
214,336,2138,Travel Loan,4.4301113954933432e+18,2023-10-09,,3,17000,1587.41,6.08
109,267,1691,Travel Loan,2233622143630321.0,2021-03-09,2022-12-22,3,23000,15011.05,12.79
161,33,221,Travel Loan,213135172153881.0,2022-12-03,2023-03-11,3,73000,23949.18,15.18
158,622,3981,Travel Loan,4847812657231616.0,2022-09-22,,3,50000,25054.2,13.75
119,121,666,Travel Loan,4.3335753998694523e+18,2021-07-22,,3,96000,40860.97,9.66
224,27,167,Travel Loan,676118234647.0,2023-11-15,2023-12-01,3,62000,35138.51,7.65
209,634,4081,Travel Loan,60452129517.0,2023-09-22,,3,99000,57863.47,8.47
186,933,7959,Travel Loan,6512142760044956.0,2023-04-21,2023-11-02,3,28000,10167.8,11.45
196,738,4808,Travel Loan,4.808012211991937e+18,2023-07-02,,3,90000,22672.87,10.36
116,945,8342,Travel Loan,371922095730806.0,2021-05-09,,3,34000,19398.91,11.74
208,328,2121,Travel Loan,4.8935388153631017e+18,2023-09-12,,3,87000,28451.25,14.42
136,594,3794,Travel Loan,347170999826558.0,2021-12-27,2023-03-16,3,51000,22117.8,6.56
105,504,3230,Travel Loan,4391361448011.0,2020-11-06,,3,81000,27921.13,8.13
154,637,4094,Travel Loan,213176148299622.0,2022-08-06,,3,97000,78888.65,14.94
231,527,3348,Travel Loan,4028256906717.0,2023-12-14,2023-12-19,3,68000,65344.9,10.1
153,413,2592,Travel Loan,503841526901.0,2022-07-20,,3,100000,38701.38,15.43
189,8,60,Travel Loan,3.55391e+15,2023-05-20,,3,63000,60227.83,6.7
219,857,6789,Travel Loan,4194713811781.0,2023-10-25,,3,29000,27093.58,15.33
220,693,4495,Travel Loan,348697991632625.0,2023-11-03,,3,96000,82306.04,9.5
144,375,2425,Travel Loan,3547343804691424.0,2022-05-17,2023-06-30,3,3000,1847.79,10.72
201,42,264,Travel Loan,180076050242157.0,2023-07-28,2023-11-15,3,9000,8896.88,9.56
101,592,3782,Travel Loan,2701295921278713.0,2020-08-07,,6,41000,17472.24,10.16
177,844,6567,Travel Loan,3506466552802965.0,2023-03-04,2023-03-19,6,69000,24570.11,10.95
89,384,2475,Travel Loan,6598834338495101.0,2019-09-15,,6,90000,19011.42,6.58
121,24,153,Travel Loan,30578035216224.0,2021-08-05,,6,54000,44893.05,7.11
223,404,2540,Travel Loan,3528262781781698.0,2023-11-12,,6,5000,4215.69,7.3
141,647,4171,Travel Loan,6585295730499791.0,2022-03-21,,6,78000,33021.83,10.18
149,287,1819,Travel Loan,3523293433873729.0,2022-06-28,,6,82000,74174.18,12.02
103,97,531,Travel Loan,213178998968793.0,2020-09-19,,6,11000,1807.38,10.68
191,757,5013,Travel Loan,377708753704876.0,2023-05-22,,6,57000,55399.34,8.24
163,593,3787,Travel Loan,4.63112e+15,2023-01-06,,6,21000,13415.02,8.7
164,481,3102,Travel Loan,375473210259194.0,2023-01-06,,6,22000,10113.52,8.77
112,725,4715,Travel Loan,570061879013.0,2021-03-30,2022-04-23,6,13000,7703.93,13.38
202,740,4823,Travel Loan,2225012451317341.0,2023-07-28,,6,55000,23237.65,15.98
175,132,731,Travel Loan,502083857651.0,2023-02-26,2023-12-18,6,44000,35927.17,8.05
181,63,378,Travel Loan,3588809305747444.0,2023-03-27,2023-07-02,6,6000,260.52,10.53
207,752,4944,Travel Loan,4563556795213034.0,2023-09-06,,6,28000,15000.82,11.41
123,1043,9974,Travel Loan,345693844900601.0,2021-08-14,,6,31000,10912.3,6.18
192,358,2287,Travel Loan,213169580354559.0,2023-05-23,,6,12000,5143.2,9.59
168,67,429,Travel Loan,3527536165991358.0,2023-01-28,,6,74000,4620.1,6.6
206,425,2662,Travel Loan,379607257945514.0,2023-09-04,2023-12-03,6,22000,3344.88,6.49
156,660,4265,Travel Loan,6528253259162373.0,2022-08-19,2023-06-01,6,83000,52630.58,7.32
221,1070,10490,Travel Loan,345196659960678.0,2023-11-08,,6,32000,25555.57,15.33
97,1223,13231,Travel Loan,3594520080980447.0,2020-05-02,2021-07-31,6,64000,22482.32,7.63
183,156,906,Travel Loan,2222355203815218.0,2023-04-07,2023-08-14,6,35000,20905.64,13.15
203,95,519,Travel Loan,340060098880159.0,2023-08-01,,6,5000,738.74,9.49
135,162,967,Travel Loan,4.6990904921061059e+18,2021-12-23,,6,86000,78292.34,11.38
184,451,2888,Travel Loan,3511250600340415.0,2023-04-16,2023-12-25,6,6000,3228.65,14.45
129,813,5873,Travel Loan,213124076094201.0,2021-10-28,,6,90000,80264.45,7.63
187,1194,12781,Travel Loan,2720922641596952.0,2023-04-30,2023-11-21,6,64000,16968.76,10.56
188,457,2948,Travel Loan,38620895716208.0,2023-05-16,2023-05-20,6,68000,11086.66,13.52
125,673,4353,Travel Loan,38594738372703.0,2021-08-31,,6,92000,21981.92,6.96
170,1239,13442,Travel Loan,30295545221160.0,2023-02-02,,6,6000,1957.86,12.28
107,393,2498,Travel Loan,180054336977383.0,2020-12-03,,6,18000,12839.17,8.55
98,779,5323,Travel Loan,3516603835239569.0,2020-05-21,2021-08-13,6,34000,2287.82,14.17
96,5,51,Travel Loan,6564550800705385.0,2020-04-24,,6,45000,1065.54,11.76
210,629,4018,Travel Loan,60432380594.0,2023-09-25,,6,25000,23622.83,15.21
155,511,3257,Travel Loan,4.0625865584305766e+18,2022-08-06,,12,46000,18974.53,6.59
94,1038,9787,Travel Loan,3535584324469841.0,2020-03-30,2022-11-10,12,2000,767.3,8.03
152,403,2538,Travel Loan,180037003147539.0,2022-07-12,,12,44000,21820.32,6.25
200,323,2065,Travel Loan,30095765913128.0,2023-07-24,,12,56000,11864.73,6.18
226,388,2488,Travel Loan,4.5998619155698345e+18,2023-11-26,,12,27000,21870.18,6.2
118,204,1239,Travel Loan,4.41426e+15,2021-05-30,,12,45000,9413.07,13.38
222,636,4091,Travel Loan,370101905582555.0,2023-11-09,,12,69000,51303.42,10.95
180,315,2005,Travel Loan,4472025862985.0,2023-03-24,,12,28000,3944.94,10.67
166,28,174,Travel Loan,4976020827931395.0,2023-01-22,2023-07-31,12,47000,3397.8,6.7
217,614,3938,Travel Loan,3589710051281324.0,2023-10-16,,12,98000,49420.95,12.23
190,700,4533,Travel Loan,213163498718443.0,2023-05-22,,12,55000,54012.98,7.73
165,482,3104,Travel Loan,502071364389.0,2023-01-13,,12,47000,11602.52,9.58
160,247,1500,Travel Loan,3.55913e+15,2022-10-08,,12,8000,2905.9,7.6
142,709,4587,Travel Loan,36619127748494.0,2022-04-11,2023-10-12,12,53000,1056.97,8.68
92,477,3082,Travel Loan,4.9118146883603364e+18,2020-01-16,,12,16000,8092.93,8.38
113,289,1831,Travel Loan,4052583690539.0,2021-04-08,2022-09-21,12,81000,80939.45,6.25
150,733,4764,Travel Loan,180039370498503.0,2022-06-30,,18,22000,9142.67,14.74
131,117,649,Travel Loan,4518540648711.0,2021-11-23,2023-09-18,18,47000,5281.53,15.32
227,677,4382,Travel Loan,3529652938196726.0,2023-12-01,,18,51000,20502.63,6.67
195,991,9149,Travel Loan,30501758443007.0,2023-07-01,,18,27000,6132.37,9.78
88,721,4680,Travel Loan,4.03299e+15,2019-04-05,,18,77000,15729.47,11.53
122,587,3763,Travel Loan,4363812662975342.0,2021-08-05,2022-12-04,18,85000,42390.97,13.66
147,597,3813,Travel Loan,30428818532837.0,2022-06-06,2023-06-06,18,20000,17434.12,6.28
194,716,4651,Travel Loan,4434362850718.0,2023-06-11,,18,49000,11545.42,11.45
99,1040,9890,Travel Loan,180068530560290.0,2020-05-28,,18,41000,4793.64,12.26
159,1115,11375,Travel Loan,502085606890.0,2022-10-03,,18,34000,2105.91,12.75
124,103,584,Travel Loan,6011800220550658.0,2021-08-17,2022-07-31,18,48000,34817.82,8.58
151,122,667,Travel Loan,4878961929822249.0,2022-07-03,,18,1000,362.31,6.29
229,715,4639,Travel Loan,563824992025.0,2023-12-08,,18,54000,12597.46,14.88
178,228,1382,Travel Loan,4.204571805673089e+18,2023-03-15,,18,7000,2984.68,15.28
167,474,3066,Travel Loan,180014313137393.0,2023-01-24,,18,90000,32377.91,13.93
130,272,1754,Travel Loan,180007640217961.0,2021-10-28,,18,83000,33668.4,9.95
100,422,2650,Travel Loan,3545205492276036.0,2020-07-11,2021-06-11,18,11000,663.07,8.94
6,1254,1440,Home Renovation Loan,4630314735168101.0,2023-01-20,,3,70000,26916.65,12.1
314,600,3829,Home Renovation Loan,4478222767538197.0,2021-05-20,,3,88000,49042.84,10.99
24,1272,4588,Home Renovation Loan,4648360852186111.0,2022-01-21,,3,93000,44568.47,9.72
22,1270,4941,Home Renovation Loan,349256757535230.0,2023-11-29,,3,92000,10170.84,11.34
492,767,5204,Home Renovation Loan,4395690332211716.0,2022-09-14,,3,68000,31480.06,10.98
16,213,1289,Home Renovation Loan,4.98258e+15,2022-06-11,,3,40000,3996.15,12.2
396,347,2184,Home Renovation Loan,30314618890445.0,2022-02-11,,3,72000,5383.43,13.7
596,21,132,Home Renovation Loan,3521773405085438.0,2023-02-26,,3,81000,46768.84,6.04
18,1266,2065,Home Renovation Loan,3568126973907794.0,2023-11-28,,3,20000,18720.56,14.98
2,1250,174,Home Renovation Loan,4258121717404326.0,2023-04-07,,3,93000,21206.07,15.04
581,55,335,Home Renovation Loan,4.1213082888673562e+18,2023-01-25,,3,98000,83773.06,12.74
369,697,4518,Home Renovation Loan,180053585738538.0,2021-12-11,,3,40000,8039.07,7.79
21,1269,1211,Home Renovation Loan,180009496546253.0,2023-10-06,,3,95000,46759.83,13.27
738,386,2478,Home Renovation Loan,6011192469750003.0,2023-08-14,,3,25000,6874.32,9.92
20,1268,12781,Home Renovation Loan,346566072244109.0,2023-08-29,,3,84000,13531.25,7.98
7,1255,3813,Home Renovation Loan,4753714371739.0,2023-03-09,,3,60000,25238.38,9.15
669,7,56,Home Renovation Loan,30417792333544.0,2023-06-11,,3,14000,1976.15,16.0
424,607,3885,Home Renovation Loan,3596399056044365.0,2022-05-17,,3,53000,52566.11,11.14
436,494,3173,Home Renovation Loan,6011218496924111.0,2022-06-10,,3,2000,256.26,15.37
